,date,dailyconfirmed,dailydeceased,dailyrecovered,totalconfirmed,totaldeceased,totalrecovered,sl
0,30 January ,1,0,0,1,0,0,0
1,31 January ,0,0,0,1,0,0,1
2,01 February ,0,0,0,1,0,0,2
3,02 February ,1,0,0,2,0,0,3
4,03 February ,1,0,0,3,0,0,4
5,04 February ,0,0,0,3,0,0,5
6,05 February ,0,0,0,3,0,0,6
7,06 February ,0,0,0,3,0,0,7
8,07 February ,0,0,0,3,0,0,8
9,08 February ,0,0,0,3,0,0,9
10,09 February ,0,0,0,3,0,0,10
11,10 February ,0,0,0,3,0,0,11
12,11 February ,0,0,0,3,0,0,12
13,12 February ,0,0,0,3,0,0,13
14,13 February ,0,0,1,3,0,1,14
15,14 February ,0,0,0,3,0,1,15
16,15 February ,0,0,0,3,0,1,16
17,16 February ,0,0,1,3,0,2,17
18,17 February ,0,0,0,3,0,2,18
19,18 February ,0,0,0,3,0,2,19
20,19 February ,0,0,0,3,0,2,20
21,20 February ,0,0,1,3,0,3,21
22,21 February ,0,0,0,3,0,3,22
23,22 February ,0,0,0,3,0,3,23
24,23 February ,0,0,0,3,0,3,24
25,24 February ,0,0,0,3,0,3,25
26,25 February ,0,0,0,3,0,3,26
27,26 February ,0,0,0,3,0,3,27
28,27 February ,0,0,0,3,0,3,28
29,28 February ,0,0,0,3,0,3,29
30,29 February ,0,0,0,3,0,3,30
31,01 March ,0,0,0,3,0,3,31
32,02 March ,2,0,0,5,0,3,32
33,03 March ,1,0,0,6,0,3,33
34,04 March ,22,0,0,28,0,3,34
35,05 March ,2,0,0,30,0,3,35
36,06 March ,1,0,0,31,0,3,36
37,07 March ,3,0,0,34,0,3,37
38,08 March ,5,0,0,39,0,3,38
39,09 March ,9,0,0,48,0,3,39
40,10 March ,15,0,1,63,0,4,40
41,11 March ,8,0,0,71,0,4,41
42,12 March ,10,1,0,81,1,4,42
43,13 March ,10,0,6,91,1,10,43
44,14 March ,11,1,0,102,2,10,44
45,15 March ,10,0,3,112,2,13,45
46,16 March ,14,0,1,126,2,14,46
47,17 March ,20,1,1,146,3,15,47
48,18 March ,25,0,0,171,3,15,48
49,19 March ,27,1,5,198,4,20,49
50,20 March ,58,0,3,256,4,23,50
51,21 March ,78,0,0,334,4,23,51
52,22 March ,69,3,0,403,7,23,52
53,23 March ,94,2,2,497,9,25,53
54,24 March ,74,1,15,571,10,40,54
55,25 March ,86,1,3,657,11,43,55
56,26 March ,73,5,7,730,16,50,56
57,27 March ,153,3,25,883,19,75,57
58,28 March ,136,5,10,1019,24,85,58
59,29 March ,120,3,17,1139,27,102,59
60,30 March ,187,14,35,1326,41,137,60
61,31 March ,309,6,13,1635,47,150,61
62,01 April ,424,6,19,2059,53,169,62
63,02 April ,486,16,22,2545,69,191,63
64,03 April ,560,14,39,3105,83,230,64
65,04 April ,579,13,56,3684,96,286,65
66,05 April ,609,22,43,4293,118,329,66
67,06 April ,484,16,65,4777,134,394,67
68,07 April ,573,27,75,5350,161,469,68
69,08 April ,565,20,96,5915,181,565,69
70,09 April ,813,46,70,6728,227,635,70
71,10 April ,871,22,151,7599,249,786,71
72,11 April ,854,41,186,8453,290,972,72
73,12 April ,758,42,114,9211,332,1086,73
74,13 April ,1243,27,112,10454,359,1198,74
75,14 April ,1031,37,167,11485,396,1365,75
76,15 April ,886,27,144,12371,423,1509,76
77,16 April ,1061,26,258,13432,449,1767,77
78,17 April ,922,38,273,14354,487,2040,78
79,18 April ,1371,35,426,15725,522,2466,79
80,19 April ,1580,38,388,17305,560,2854,80
81,20 April ,1239,33,419,18544,593,3273,81
82,21 April ,1537,53,703,20081,646,3976,82
83,22 April ,1292,36,394,21373,682,4370,83
84,23 April ,1667,40,642,23040,722,5012,84
85,24 April ,1408,59,484,24448,781,5496,85
86,25 April ,1835,44,442,26283,825,5938,86
87,26 April ,1607,56,585,27890,881,6523,87
88,27 April ,1568,58,580,29458,939,7103,88
89,28 April ,1902,69,636,31360,1008,7739,89
90,29 April ,1705,71,690,33065,1079,8429,90
91,30 April ,1801,75,630,34866,1154,9059,91
92,01 May ,2396,77,962,37262,1231,10021,92
93,02 May ,2564,92,831,39826,1323,10852,93
94,03 May ,2952,140,911,42778,1463,11763,94
95,04 May ,3656,103,1082,46434,1566,12845,95
96,05 May ,2971,128,1295,49405,1694,14140,96
97,06 May ,3602,91,1161,53007,1785,15301,97
98,07 May ,3344,104,1475,56351,1889,16776,98
99,08 May ,3339,97,1111,59690,1986,17887,99
100,09 May ,3175,115,1414,62865,2101,19301,100
101,10 May ,4311,112,1669,67176,2213,20970,101
102,11 May ,3592,81,1579,70768,2294,22549,102
103,12 May ,3562,120,1905,74330,2414,24454,103
104,13 May ,3726,137,1963,78056,2551,26417,104
105,14 May ,3991,97,1594,82047,2648,28011,105
106,15 May ,3808,104,2234,85855,2752,30245,106
107,16 May ,4794,120,4012,90649,2872,34257,107
108,17 May ,5049,152,2538,95698,3024,36795,108
109,18 May ,4628,131,2482,100326,3155,39277,109
110,19 May ,6154,146,3032,106480,3301,42309,110
111,20 May ,5720,134,3113,112200,3435,45422,111
112,21 May ,6023,148,3131,118223,3583,48553,112
113,22 May ,6536,142,3280,124759,3725,51833,113
114,23 May ,6667,142,2576,131424,3867,54409,114
115,24 May ,7111,156,3285,138537,4023,57694,115
116,25 May ,6414,150,3012,144951,4173,60706,116
117,26 May ,5907,173,3585,150858,4346,64291,117
118,27 May ,7246,188,3434,158104,4534,67725,118
119,28 May ,7254,176,3171,165358,4710,70896,119
120,29 May ,8138,269,11735,173496,4979,82631,120
121,30 May ,8364,205,4303,181860,5184,86934,121
122,31 May ,8789,222,4928,190649,5406,91862,122
123,01 June ,7723,201,3882,198372,5607,95744,123
124,02 June ,8812,222,4531,207187,5829,100275,124
125,03 June ,9689,259,3789,216876,6088,104064,125
126,04 June ,9847,274,4390,226723,6362,108454,126
127,05 June ,9472,286,4770,236195,6648,113224,127
128,06 June ,10408,297,5433,246603,6945,118657,128
129,07 June ,10882,261,5191,257485,7206,123848,129
130,08 June ,8536,271,5171,266021,7477,129019,130
131,09 June ,9981,272,5634,276002,7749,134653,131
132,10 June ,11156,358,6275,287158,8107,140928,132
133,11 June ,11135,394,6044,298293,8501,146972,133
134,12 June ,11306,388,7263,309599,8889,154235,134
135,13 June ,12039,309,8092,321638,9198,162327,135
136,14 June ,11405,324,7358,333043,9522,169685,136
137,15 June ,10032,396,10639,343075,9918,180324,137
138,16 June ,11086,2004,7226,354161,11922,187550,138
139,17 June ,13108,341,6890,367269,12263,194440,139
140,18 June ,13829,343,10741,381098,12606,205181,140
141,19 June ,14740,364,9029,395838,12970,214210,141
142,20 June ,15918,308,13974,411753,13278,228184,142
143,21 June ,15151,426,9075,426904,13704,237259,143
144,22 June ,13560,312,10879,440464,14016,248138,144
145,23 June ,15656,468,10462,456120,14484,258600,145
146,24 June ,16868,424,13089,472988,14908,271689,146
147,25 June ,18205,401,13983,491193,15309,285672,147
148,26 June ,18255,381,10246,509448,15690,295918,148
149,27 June ,20142,414,14229,529590,16104,310147,149
150,28 June ,19610,384,11631,549200,16488,321778,150
151,29 June ,18339,417,13497,567539,16905,335275,151
152,30 June ,18256,506,12565,585795,17411,347840,152
153,01 July ,19429,438,12064,605224,17849,359904,153
154,02 July ,21947,378,19999,627171,18227,379903,154
155,03 July ,22718,444,14417,649889,18671,394320,155
156,04 July ,24018,611,14746,673907,19282,409066,156
157,05 July ,23942,421,15829,697849,19703,424895,157
158,06 July ,22500,473,15315,720349,20176,440210,158
159,07 July ,23147,479,16836,743496,20655,457046,159
160,08 July ,25561,492,19508,769057,21147,476554,160
161,09 July ,25790,479,19408,794847,21626,495962,161
162,10 July ,27762,520,20289,822609,22146,516251,162
163,11 July ,27757,543,19981,850366,22689,536232,163
164,12 July ,29106,500,18198,879472,23189,554430,164
165,13 July ,28178,541,17683,907650,23730,572113,165
166,14 July ,29917,587,20977,937567,24317,593090,166
167,15 July ,32607,614,20646,970174,24931,613736,167
168,16 July ,35468,680,22867,1005642,25611,636603,168
169,17 July ,34820,676,17476,1040462,26287,654079,169
170,18 July ,37411,543,23583,1077873,26830,677662,170
171,19 July ,40235,675,22730,1118108,27505,700392,171
172,20 July ,36806,596,24303,1154914,28101,724695,172
173,21 July ,39170,671,27589,1194084,28772,752284,173
174,22 July ,45601,1130,31875,1239685,29902,784159,174
175,23 July ,48443,755,33326,1288128,30657,817485,175
176,24 July ,48888,763,32514,1337016,31420,849999,176
177,25 July ,50072,703,37125,1387088,32123,887124,177
178,26 July ,48932,704,31512,1436020,32827,918636,178
179,27 July ,46484,642,34354,1482504,33469,952990,179
180,28 July ,49631,774,35683,1532135,34243,988673,180
181,29 July ,52479,775,32886,1584614,35018,1021559,181
182,30 July ,54968,784,37425,1639582,35802,1058984,182
183,31 July ,57486,764,36554,1697068,36566,1095538,183
184,01 August ,55117,854,51368,1752185,37420,1146906,184
185,02 August ,52672,760,40355,1804857,38180,1187261,185
186,03 August ,50488,806,43070,1855345,38986,1230331,186
187,04 August ,51282,849,51220,1906627,39835,1281551,187
188,05 August ,56626,919,45583,1963253,40754,1327134,188
189,06 August ,62170,899,50141,2025423,41653,1377275,189
190,07 August ,61455,936,50387,2086878,42589,1427662,190
191,08 August ,65156,875,52135,2152034,43464,1479797,191
192,09 August ,62117,1013,54474,2214151,44477,1534271,192
193,10 August ,53016,887,47362,2267167,45364,1581633,193
194,11 August ,61252,835,56461,2328419,46199,1638094,194
195,12 August ,67066,950,57759,2395485,47149,1695853,195
196,13 August ,64141,1006,54776,2459626,48155,1750629,196
197,14 August ,65610,989,56920,2525236,49144,1807549,197
198,15 August ,63986,952,53116,2589222,50096,1860665,198
199,16 August ,58096,952,57404,2647318,51048,1918069,199
200,17 August ,54298,880,58172,2701616,51928,1976241,200
201,18 August ,65024,1099,60455,2766640,53027,2036696,201
202,19 August ,69196,979,59365,2835836,54006,2096061,202
203,20 August ,68518,981,61873,2904354,54987,2157934,203
204,21 August ,69029,953,62858,2973383,55940,2220792,204
205,22 August ,70067,918,59101,3043450,56858,2279893,205
206,23 August ,61749,846,56896,3105199,57704,2336789,206
207,24 August ,59696,854,66305,3164895,58558,2403094,207
208,25 August ,66873,1066,64151,3231768,59624,2467245,208
209,26 August ,75995,1017,56191,3307763,60641,2523436,209
210,27 August ,76827,1066,59620,3384590,61707,2583056,210
211,28 August ,76657,1019,64475,3461247,62726,2647531,211
212,29 August ,78479,943,64982,3539726,63669,2712513,212
